"rt";"responses";"question_order";"trial_type";"trial_index";"time_elapsed";"internal_node_id";"subjectId"
26063;"";"";"instructions";0;26076;"0.0-0.0";"l8j3k5vhy2wbhvft71g2"
18150;"{""internet"":5,""news"":3}";"[0,1]";"survey-likert";1;44250;"0.0-1.0";"l8j3k5vhy2wbhvft71g2"
52908;"{""appearance"":3,""readability"":6,""readability2"":3,""future"":4}";"[0,1,2,3]";"survey-likert";2;97176;"0.0-2.0-0.0";"l8j3k5vhy2wbhvft71g2"
32009;"{""appearance"":1,""readability"":3,""readability2"":0,""future"":0}";"[0,1,2,3]";"survey-likert";3;129209;"0.0-2.0-1.0";"l8j3k5vhy2wbhvft71g2"
39666;"{""appearance"":0,""readability"":2,""readability2"":0,""future"":0}";"[0,1,2,3]";"survey-likert";4;168891;"0.0-2.0-2.0";"l8j3k5vhy2wbhvft71g2"
1626;"";"";"html-button-response";5;170529;"0.0-3.0";"l8j3k5vhy2wbhvft71g2"
4655;"";"";"instructions";0;4658;"0.0-0.0";"tycefhbu0d0olcamung6"
14116;"{""internet"":6,""news"":5}";"[0,1]";"survey-likert";1;18781;"0.0-1.0";"tycefhbu0d0olcamung6"
32195;"{""appearance"":4,""readability"":3,""readability2"":5,""future"":3}";"[0,1,2,3]";"survey-likert";2;50981;"0.0-2.0-0.0";"tycefhbu0d0olcamung6"
21862;"{""appearance"":2,""readability"":3,""readability2"":4,""future"":2}";"[0,1,2,3]";"survey-likert";3;72848;"0.0-2.0-1.0";"tycefhbu0d0olcamung6"
13313;"{""appearance"":1,""readability"":0,""readability2"":2,""future"":0}";"[0,1,2,3]";"survey-likert";4;86166;"0.0-2.0-2.0";"tycefhbu0d0olcamung6"
1451;"";"";"html-button-response";5;87622;"0.0-3.0";"tycefhbu0d0olcamung6"
83405;"";"";"instructions";0;83406;"0.0-0.0";"hsbm7uury8prebyom70x"
27354;"{""internet"":6,""news"":5}";"[0,1]";"survey-likert";1;110763;"0.0-1.0";"hsbm7uury8prebyom70x"
100184;"{""appearance"":3,""readability"":4,""readability2"":2,""future"":1}";"[0,1,2,3]";"survey-likert";2;210952;"0.0-2.0-0.0";"hsbm7uury8prebyom70x"
39419;"{""appearance"":2,""readability"":3,""readability2"":2,""future"":2}";"[0,1,2,3]";"survey-likert";3;250375;"0.0-2.0-1.0";"hsbm7uury8prebyom70x"
65394;"{""appearance"":2,""readability"":3,""readability2"":2,""future"":2}";"[0,1,2,3]";"survey-likert";4;315775;"0.0-2.0-2.0";"hsbm7uury8prebyom70x"
1772;"";"";"html-button-response";5;317551;"0.0-3.0";"hsbm7uury8prebyom70x"
